id,title,description,audioUrl,youtubeId,date
benett-i-wonder,Richard Rodney Bennett - I wonder as I wonder,「遊声」第27回演奏会での演奏,https://www.youtube.com/watch?v=kCST39_mLPs,kCST39_mLPs,2024-07-06
busto-ave-maria,Javier Busto - Ave Maria,2023年東京都春のコーラスコンテストでの演奏,https://www.youtube.com/watch?v=hHmcRJ8CaCg,hHmcRJ8CaCg,2023-02-26
rutter-dashing,John Rutter (arr.) - Dashing away with the smoothing iron,「遊声」第27回演奏会での演奏,https://www.youtube.com/watch?v=raxcHdKA114,raxcHdKA114,2024-07-06
gjeilo-ecce,Ecce Novum（見よ、新たな喜びを）,「遊声」第28回演奏会での演奏,https://www.youtube.com/watch?v=fF5dLQyslOo&list=RDfF5dLQyslOo&start_radio=1
