ID,year,month,date,name,venue,songs,url
Y29,2026,7,6,「遊声」第29回演奏会,北とぴあ さくらホール,,https://www5.hp-ez.com/hp/yusei/
H26,2026,3,1,東京春のコーラスコンテスト クラシック・現代⾳楽部⾨,浜離宮朝日ホール,"EHA,KMT,KMS",
Y28,2025,6,29,「遊声」第28回演奏会,渋谷区大和田さくらホール,"OGA,OGT,OGE",https://www5.hp-ez.com/hp/yusei/page45
H25,2025,3,1,東京春のコーラスコンテスト フォルクロア部門,浜離宮朝日ホール,"WAS,PMJ"
H25,2025,3,1,東京春のコーラスコンテスト 宗教音楽部門,浜離宮朝日ホール,"JMO,OGA"
Y27,2024,7,6,「遊声」第27回演奏会,武蔵野市民文化会館 大ホール,"TTP,BPO,RBI"
H24,2024,2,24,東京春のコーラスコンテスト 宗教音楽部門,浜離宮朝日ホール,"TTP,BPO,RBI"
Y26,2023,7,1,「遊声」第26回演奏会,府中の森芸術劇場 どりーむホール,"TMN,BPO,AST"
H23,2023,2,26,東京春のコーラスコンテスト クラシック・現代⾳楽部⾨,浜離宮朝日ホール,"BPO,TTK,HBA"
